Age,Income,NumPurchases,Calls,Churn
39,925,93,2,0
64,487,67,9,1
54,866,1,6,0
44,217,80,3,0
59,4,65,9,0
37,361,58,3,0
39,170,71,9,0
53,404,81,11,0
34,834,39,13,0
20,799,46,1,0
42,900,19,6,0
23,413,27,6,0
54,362,7,2,0
18,369,33,11,1
51,867,31,13,1
58,399,37,9,0
47,429,51,6,0
18,645,62,9,0
47,412,47,9,0
50,490,31,3,0
35,959,22,11,0
36,98,86,6,0
55,175,8,4,0
19,917,39,6,1
47,187,86,10,1
25,215,93,8,0
21,558,11,13,0
32,730,81,5,1
39,265,18,5,0
44,58,7,14,0
29,974,32,7,0
29,810,76,7,0
22,365,80,4,0
35,110,32,7,0
59,253,3,10,0
64,32,98,11,0
43,804,69,12,1
53,245,3,5,0
47,601,17,9,0
34,522,44,3,0
22,248,83,10,1
51,411,32,12,0
23,593,47,6,1
19,104,33,3,0
23,720,77,6,0
21,426,49,14,1
62,49,97,13,0
64,274,0,10,0
41,26,88,4,1
23,455,11,13,0
30,369,29,10,0
45,987,15,6,1
29,716,88,6,0
39,55,96,4,0
44,666,23,6,0
35,341,79,1,1
61,492,29,10,1
39,660,3,13,1
49,21,68,14,0
59,351,25,14,1
37,889,7,12,0
18,773,51,6,0
18,863,96,7,0
38,720,11,6,0
50,591,36,1,0
41,845,45,8,0
45,522,37,11,0
38,326,20,12,0
56,190,93,6,0
42,641,64,9,0
41,394,54,1,0
30,200,61,14,1
35,814,95,11,0
19,678,81,2,1
27,23,23,14,0
21,150,20,3,0
37,840,53,10,0
33,525,67,9,0
51,15,89,2,0
32,557,75,11,0
31,756,81,14,0
56,118,9,12,0
48,82,92,8,1
39,474,62,11,0
53,66,26,13,1
37,747,87,14,1
36,785,73,10,0
60,228,51,6,0
35,583,92,10,1
50,582,40,14,0
46,538,84,6,1
39,180,65,2,0
24,645,44,6,0
25,159,26,5,0
48,189,40,2,0
40,584,40,14,0
62,928,70,10,0
39,380,33,10,0
39,590,66,5,0
53,72,41,9,1
39,122,21,7,0
33,34,8,1,1
20,677,66,10,0
53,3,2,7,0
37,634,52,3,0
50,734,21,2,0
27,380,20,3,1
52,28,86,5,1
50,270,58,14,0
32,73,89,3,1
35,762,17,12,0
36,699,68,4,0
45,231,51,11,0
52,979,74,13,0
23,365,87,12,1
25,903,0,3,1
60,98,24,2,0
31,118,49,11,0
36,155,96,13,0
33,334,5,10,0
18,781,24,3,0
22,52,97,12,0
49,595,50,9,0
31,710,89,6,1
18,742,25,8,0
42,358,48,6,1
43,455,12,9,0
50,382,14,12,0
49,614,60,1,0
62,943,41,8,1
18,233,88,10,1
29,62,98,11,0
49,207,10,5,0
59,984,39,8,0
63,229,42,13,1
54,522,31,9,0
58,280,13,12,0
22,420,63,14,1
48,506,33,8,0
63,289,74,5,0
53,142,95,7,0
58,375,78,4,0
30,891,27,14,0
50,913,52,10,0
63,464,5,9,0
50,778,50,12,1
28,686,90,5,0
36,677,83,2,1
19,964,20,13,1
29,821,79,10,1
41,989,8,2,0
18,345,71,9,0
57,201,18,8,0
24,718,62,2,0
32,11,71,8,0
20,411,36,2,0
51,404,55,9,0
48,445,67,5,0
40,424,14,13,1
40,570,46,11,0
23,531,69,14,1
56,314,43,1,0
38,74,49,3,1
34,487,42,1,1
59,382,51,7,0
63,464,31,12,1
23,723,56,12,0
18,908,93,4,1
20,152,13,13,1
46,56,90,4,0
59,6,33,5,0
52,640,16,12,0
29,842,6,8,0
47,870,71,2,0
23,375,51,2,0
45,165,32,5,0
50,212,73,6,0
57,672,98,13,1
40,168,2,7,0
44,155,70,3,0
55,338,48,2,0
61,617,37,7,0
19,982,42,2,0
33,972,78,4,0
48,956,56,6,0
25,114,42,6,1
33,224,22,11,1
31,212,49,13,0
50,831,15,11,0
44,668,88,14,0
36,373,71,14,1
48,956,7,1,0
58,584,89,8,1
63,610,11,11,1
21,802,68,2,0
59,575,13,3,1
35,279,84,13,0
57,322,28,8,0
61,528,43,10,0
19,355,79,8,1
42,117,69,11,0
35,278,18,13,1
36,712,97,11,0
58,634,41,10,1
26,495,47,2,0
43,421,68,9,0
44,851,88,13,0
43,857,80,14,0
30,941,38,2,1
27,497,26,4,0
50,690,56,8,0
32,368,3,10,0
45,809,75,13,0
47,164,63,4,0
62,971,74,6,0
63,309,87,9,0
47,455,72,2,0
60,209,51,1,1
25,969,18,13,0
53,30,43,3,0
57,33,31,6,0
58,774,92,3,0
37,806,24,12,0
53,491,17,13,0
55,817,41,5,0
28,781,41,5,0
49,280,81,2,1
24,319,0,2,1
36,565,70,14,0
31,153,5,12,0
42,393,97,10,0
57,665,90,7,1
46,496,12,1,0
55,535,99,11,0
28,743,2,8,0
55,422,66,10,0
32,961,32,9,0
48,922,94,2,0
27,497,97,7,0
31,95,26,14,0
40,767,31,8,0
56,208,23,11,0
43,278,15,6,1
49,765,73,14,1
60,146,57,9,1
56,67,58,4,0
25,88,54,3,0
37,302,43,6,0
64,654,60,8,0
49,641,44,14,0
42,298,25,11,0
51,752,24,9,0
38,10,87,8,1
19,202,36,6,1
27,376,9,5,1
56,959,95,7,0
57,636,39,11,1
56,498,35,4,1
32,54,86,9,1
40,87,70,9,0
18,458,26,6,1
46,967,41,9,0
63,903,73,6,1
46,593,40,2,0
44,721,67,7,0
27,251,10,8,0
26,63,98,4,0
64,116,45,3,1
22,417,83,14,0
48,841,83,7,0
38,241,52,6,0
34,767,21,7,0
18,288,45,14,0
49,633,12,6,0
21,819,64,9,0
59,476,73,13,0
38,151,85,10,0
20,204,89,11,0
38,301,58,7,1
29,942,67,9,0
26,792,24,3,1
26,991,92,9,0
52,425,15,2,0
55,837,27,12,0
37,996,30,1,0
25,741,58,4,1
56,903,54,5,0
26,799,42,7,0
48,786,99,5,0
54,106,22,2,0
36,165,51,11,1
37,434,39,3,0
23,907,81,12,0
33,824,80,3,1
34,165,70,7,0
32,222,78,14,0
25,364,54,10,0
53,137,89,4,0
26,743,40,11,0
62,404,6,10,0
19,319,92,14,0
58,387,58,5,0
33,671,55,1,1
29,646,3,10,0
64,720,27,5,0
48,979,0,9,0
26,194,77,14,1
58,243,17,6,1
61,799,67,13,0
44,890,57,4,0
39,128,34,12,0
19,151,20,10,1
63,746,64,12,0
21,780,65,4,1
30,698,65,6,0
53,237,48,6,0
36,341,9,4,0
26,705,50,14,0
58,429,69,10,0
56,922,25,14,1
49,360,76,2,1
56,475,77,10,1
64,650,62,4,0
42,513,83,12,1
37,354,48,12,0
38,251,82,7,0
40,337,59,8,1
52,151,1,8,0
23,116,4,8,0
27,835,3,7,0
29,805,5,8,0
19,829,86,9,0
31,436,76,1,0
34,699,7,4,1
36,792,46,10,0
36,32,10,8,0
46,23,52,7,0
30,230,95,2,0
26,67,37,12,0
19,135,72,10,0
53,341,98,6,0
40,808,99,3,0
41,265,63,14,0
35,879,6,14,1
33,519,82,7,1
64,407,59,12,0
42,779,62,1,0
33,276,90,11,1
19,769,66,7,0
59,727,8,6,1
56,78,43,10,0
25,122,80,4,1
20,285,67,6,1
38,564,40,3,1
53,623,67,7,0
36,838,85,4,0
63,813,79,5,1
29,222,6,4,0
36,796,73,14,1
35,253,64,4,1
61,635,69,12,0
57,595,18,12,1
59,435,98,14,1
35,272,60,14,1
47,674,85,1,0
19,321,16,10,0
64,359,86,7,1
47,321,74,14,0
31,215,11,1,0
25,875,15,13,1
47,236,59,2,0
59,244,76,3,1
19,862,29,4,0
20,277,94,11,0
45,219,83,14,1
28,809,97,11,0
53,351,98,9,1
53,260,18,12,1
48,730,18,13,0
23,838,93,10,0
27,198,13,7,1
59,717,0,11,0
28,848,9,2,0
41,936,78,13,1
33,511,57,6,1
64,673,76,2,1
32,372,89,2,0
24,519,47,4,1
49,921,11,13,0
57,69,28,8,0
53,450,24,13,0
49,362,52,10,0
50,962,68,4,0
47,648,8,7,0
62,12,8,12,1
38,77,3,8,0
59,547,15,14,0
34,219,10,11,0
47,231,14,10,1
59,111,13,14,1
41,706,24,13,0
35,804,61,1,0
20,777,9,13,0
37,520,74,9,0
49,893,16,13,0
37,648,85,6,1
45,578,43,10,0
60,380,38,5,0
22,839,72,8,0
31,443,98,14,0
22,193,54,2,0
60,599,10,12,0
46,394,99,13,0
47,549,49,2,0
48,475,86,9,0
35,114,42,13,0
50,141,98,1,0
61,318,62,3,0
62,517,34,9,0
52,599,79,5,0
34,705,8,5,0
47,468,18,2,0
46,424,77,4,0
25,808,80,10,1
64,415,74,3,0
31,343,96,2,0
20,634,0,8,1
29,615,54,14,0
18,750,73,4,1
39,369,80,11,0
45,301,35,10,0
19,351,27,7,0
64,675,47,4,0
63,769,10,10,0
40,602,52,5,0
49,754,38,5,0
22,780,77,11,0
42,378,18,11,1
50,560,41,10,0
31,875,61,9,0
59,525,14,5,0
28,243,25,9,1
24,335,99,6,0
20,397,43,7,0
59,110,20,9,1
34,737,14,13,0
59,956,2,1,0
25,550,95,2,0
33,187,95,10,1
49,387,99,6,0
20,165,79,9,0
26,979,8,6,0
51,16,96,12,1
51,963,47,10,1
44,291,21,3,0
32,369,49,11,0
46,398,8,7,1
28,50,4,2,0
59,449,28,3,1
58,55,55,4,0
63,110,86,4,0
62,82,89,6,1
25,53,4,5,0
22,7,10,9,0
23,261,1,12,0
38,890,26,12,0
33,784,40,2,0
18,676,86,4,0
50,874,20,11,0
48,859,4,1,1
56,22,81,2,0
30,520,17,11,0
57,290,24,2,0
60,487,93,2,0
20,957,53,3,1
52,492,39,4,0
24,390,83,2,0
60,760,91,9,0
57,851,23,11,0
30,138,31,14,1
25,87,97,5,0
63,234,54,13,0
53,857,26,12,0
51,573,72,1,0
25,919,33,7,0
52,407,90,10,0
63,76,89,8,0
48,741,85,9,1
44,935,19,13,0
23,132,53,4,1
31,540,58,2,0
42,496,52,3,0
54,635,64,10,0
54,711,64,2,0
56,143,59,6,0
59,764,67,11,0
58,60,37,13,1
48,903,8,11,0
28,719,94,11,0
43,702,24,12,0
30,460,72,4,0
54,790,26,9,0
18,287,85,13,0
56,264,78,14,0
37,747,77,2,1
24,283,45,3,0
46,325,18,1,1
33,94,90,4,0
52,644,2,11,1
23,953,13,9,1
30,7,29,1,0
54,152,17,12,0
31,212,14,1,1
48,729,85,4,0
29,426,39,9,0
57,544,36,9,1
25,103,61,14,1
18,1,7,6,1
42,916,69,13,0
59,255,55,7,1
